StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1385,Little Squares,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1385,1,R,p3*,"k2-tog, yo, k1, yo, ssk, p3",*,
1385,Little Squares,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1385,2,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*,
1385,Little Squares,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1385,3,R,p3*,"k2-tog, yo, k1, yo, ssk, p3",*,
1385,Little Squares,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1385,4,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*,
1385,Little Squares,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1385,5,R,p3*,"k2-tog, yo, k1, yo, ssk, p3",*,
1385,Little Squares,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1385,6,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*,
1385,Little Squares,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1385,7,R,k2*,"yo, ssk, p3, k2-tog, yo, k1",*,k1
1385,Little Squares,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1385,8,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*,
1385,Little Squares,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1385,9,R,k2*,"yo, ssk, p3, k2-tog, yo, k1",*,k1
1385,Little Squares,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1385,10,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*,
1385,Little Squares,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1385,11,R,k2*,"yo, ssk, p3, k2-tog, yo, k1",*,k1
1385,Little Squares,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1385,12,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*,
