StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1395,Thick and Thin Zigzags,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1395,1,R,p1*,"p2, k2-tog, yo, k1, k2-tog, yo, p2",*,p1
1395,Thick and Thin Zigzags,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1395,2,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*,
1395,Thick and Thin Zigzags,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1395,3,R,p1*,"p1, k2-tog, yo, k1, k2-tog, yo, p3",*,p1
1395,Thick and Thin Zigzags,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1395,4,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*,
1395,Thick and Thin Zigzags,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1395,5,R,p1*,"k2-tog, yo, k1, k2-tog, yo, p4",*,p1
1395,Thick and Thin Zigzags,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1395,6,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*,
1395,Thick and Thin Zigzags,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1395,7,R,p1*,"p2, yo, ssk, k1, yo, ssk, p2",*,p1
1395,Thick and Thin Zigzags,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1395,8,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*,
1395,Thick and Thin Zigzags,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1395,9,R,p1*,"p3, yo, ssk, k1, yo, ssk, p1",*,p1
1395,Thick and Thin Zigzags,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1395,10,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*,
1395,Thick and Thin Zigzags,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1395,11,R,p1*,"p4, yo, ssk, k1, yo, ssk",*,p1
1395,Thick and Thin Zigzags,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1395,12,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*,
