StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
1396,Streams,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1396,1,R,p2*,"k1, p1, ssk, yo, k3, p2",*
1396,Streams,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1396,2,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
1396,Streams,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1396,3,R,p2*,"k1, p2, ssk, yo, k2, p2",*
1396,Streams,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1396,4,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
1396,Streams,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1396,5,R,p2*,"k1, p3, ssk, yo, k1, p2",*
1396,Streams,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1396,6,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
1396,Streams,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1396,7,R,p2*,"k3, yo, k2-tog, p1, k1, p2",*
1396,Streams,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1396,8,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
1396,Streams,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1396,9,R,p2*,"k2, yo, k2-tog, p2, k1, p2",*
1396,Streams,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1396,10,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
1396,Streams,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1396,11,R,p2*,"k1, yo, k2-tog, p3, k1, p2",*
1396,Streams,Multiple of 9 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1396,12,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
