StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1397,Acorns,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1397,1,R,k1*,"k3, p3",*,k1
1397,Acorns,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1397,2,W,*,knit the knit stitches; purl the purl stitches; knit the yarn over loops,*,
1397,Acorns,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1397,3,R,k1*,"k3, p3",*,k1
1397,Acorns,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1397,4,W,*,knit the knit stitches; purl the purl stitches; knit the yarn over loops,*,
1397,Acorns,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1397,5,R,k1*,"yo, k3-tog, yo, k3",*,k1
1397,Acorns,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1397,6,W,*,knit the knit stitches; purl the purl stitches; knit the yarn over loops,*,
1397,Acorns,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1397,7,R,k1*,"p3, k3",*,k1
1397,Acorns,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1397,8,W,*,knit the knit stitches; purl the purl stitches; knit the yarn over loops,*,
1397,Acorns,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1397,9,R,k1*,"k3, yo, k3-tog, yo",*,k1
1397,Acorns,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1397,10,W,*,knit the knit stitches; purl the purl stitches; knit the yarn over loops,*,
