StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,1,R,k4*,"p5, k7",*,"p5,k4"
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,2,W,*,Knit the knit stitches and purl the purl stitches,*,
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,3,R,k3*,"p3, k1, p3, k5",*,"p3,k1,p3,k3"
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,4,W,*,Knit the knit stitches and purl the purl stitches,*,
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,5,R,k2*,"p3, k3",*,"p3,k2"
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,6,W,*,Knit the knit stitches and purl the purl stitches,*,
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,7,R,k1*,"p3, k5, p3, k1",*,
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,8,W,*,Knit the knit stitches and purl the purl stitches,*,
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,9,R,p3*,"k7, p5",*,"k7, p3"
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,10,W,*,Knit the knit stitches and purl the purl stitches,*,
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,11,R,p2*,"k9, p3",*,"k9,p2"
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,12,W,*,Knit the knit stitches and purl the purl stitches,*,
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,13,R,p3*,"k7, p5",*,"k7, p3"
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,14,W,*,Knit the knit stitches and purl the purl stitches,*,
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,15,R,k1*,"p3, k5, p3, k1",*,
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,16,W,*,Knit the knit stitches and purl the purl stitches,*,
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,17,R,k2*,"p3, k3",*,"p3,k2"
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,18,W,*,Knit the knit stitches and purl the purl stitches,*,
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,19,R,k3*,"p3, k1, p3, k5",*,"p3,k1,p3,k3"
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,20,W,*,Knit the knit stitches and purl the purl stitches,*,
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,21,R,k4*,"p5, k7",*,"p5,k4"
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,22,W,*,Knit the knit stitches and purl the purl stitches,*,
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,23,R,k5*,"p3, k9",*,"p3,k5"
139,Imitation Lattice,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=139,24,W,*,Knit the knit stitches and purl the purl stitches,*,
