StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1403,Overlapping Waves,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1403,1,R,k2*,"yo, ssk, k4",*,"yo, ssk"
1403,Overlapping Waves,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1403,2,W,*,purl,*,
1403,Overlapping Waves,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1403,3,R,k2*,"yo, k1, ssk, k3",*,"yo, ssk"
1403,Overlapping Waves,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1403,4,W,*,purl,*,
1403,Overlapping Waves,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1403,5,R,k2*,"yo, k2, ssk, k2",*,"yo, ssk"
1403,Overlapping Waves,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1403,6,W,*,purl,*,
1403,Overlapping Waves,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1403,7,R,k2*,"yo, k3, ssk, k1",*,"yo, ssk"
1403,Overlapping Waves,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1403,8,W,*,purl,*,
1403,Overlapping Waves,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1403,9,R,k2*,"yo, k4, ssk",*,"yo, ssk"
1403,Overlapping Waves,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1403,10,W,*,purl,*,
