StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1404,Plain and Fancy,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1404,1,R,*,knit,*,
1404,Plain and Fancy,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1404,2,W,*,purl,*,
1404,Plain and Fancy,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1404,3,R,*,"k6, yo, k1, ssk, k1, k2-tog, yo",*,k1
1404,Plain and Fancy,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1404,4,W,*,purl,*,
1404,Plain and Fancy,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1404,5,R,*,"k6, yo, k2, sl 1-k2-tog-psso, k1, yo",*,k1
1404,Plain and Fancy,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1404,6,W,*,purl,*,
1404,Plain and Fancy,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1404,7,R,*,knit,*,
1404,Plain and Fancy,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1404,8,W,*,purl,*,
1404,Plain and Fancy,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1404,9,R,k1*,"yo, ssk, k1, k2-tog, k1, yo, k6",*,
1404,Plain and Fancy,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1404,10,W,*,purl,*,
1404,Plain and Fancy,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1404,11,R,k1*,"yo, k1, sl 1-k2-tog-psso, k2, yo, k6",*,
1404,Plain and Fancy,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1404,12,W,*,purl,*,
