StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,1,R,k1*,"k1, p2, k2, p1, k3, p1, k1, p1, k3, p1, k2, p2, k2",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,2,W,p1*,"p1, k2, p2, k5, p1, k5, p2, k2, p2",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,3,R,k1*,"k1, p2, k2, p1, k3, p1, k1, p1, k3, p1, k2, p2, k2",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,4,W,p1*,"p1, k2, p2, k5, p1, k5, p2, k2, p2",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,5,R,k1*,"p2, k2, (p1, k3) 3 times, p1, k2, p2, k1",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,6,W,p1*,"k2, p2, k5, p3, k5, p2, k2, p1",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,7,R,k1*,"p2, k2, (p1, k3) 3 times, p1, k2, p2, k1",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,8,W,p1*,"k2, p2, k5, p3, k5, p2, k2, p1",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,9,R,p1*,"p1, k2, p1, k3, (p1, k2) twice, p1, k3, p1, k2, p2",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,10,W,k1*,"k1, p2, k5, p2, k1, p2, k5, p2, k2",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,11,R,p1*,"p1, k2, p1, k3, (p1, k2) twice, p1, k3, p1, k2, p2",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,12,W,k1*,"k1, p2, k5, p2, k1, p2, k5, p2, k2",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,13,R,p1*,"k2, p1, k3, p1, k2, p3, k2, p1, k3, p1, k2, p1",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,14,W,k1*,"p2, k5, p2, k3, p2, k5, p2, k1",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,15,R,p1*,"k2, p1, k3, p1, k2, p3, k2, p1, k3, p1, k2, p1",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,16,W,k1*,"p2, k5, p2, k3, p2, k5, p2, k1",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,17,R,k1*,"k1, p1, k3, p1, k2, p2, k1, p2, k2, p1, k3, p1, k2",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,18,W,p1*,"p1, k5, p2, k2, p1, k2, p2, k5, p2",*
140,Elongated Diamond 1,Multiple of 22 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=140,19,R,k1*,"k1, p1, k3, p1, k2, p2, k1, p2, k2, p1, k3, p1, k2",*
