StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
1413,Kiwi,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1413,1,R,k1*,"yo, k2-tog, k3-tog, (yo, k1) 3 times, yo, k3-tog-b, ssk, yo, k1",*
1413,Kiwi,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1413,2,W,*,purl,*
1413,Kiwi,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1413,3,R,k1*,"yo, k3-tog, yo, k7, yo, k3-tog-b, yo, k1",*
1413,Kiwi,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1413,4,W,*,purl,*
1413,Kiwi,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1413,5,R,k1*,"yo, k2-tog, yo, k1, yo, k2, sl 2-k1-p2sso, k2, yo, k1, yo, ssk, yo, k1",*
1413,Kiwi,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1413,6,W,*,purl,*
1413,Kiwi,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1413,7,R,k1*,"yo, k2-tog, yo, k3, yo, k1, sl 2-k1-p2sso, k1, yo, k3, yo, ssk, yo, k1",*
1413,Kiwi,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1413,8,W,*,purl,*
1413,Kiwi,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1413,9,R,k1*,"yo, k2-tog twice, k3, yo, sl 2-k1-p2sso, yo, k3, (ssk) twice, yo, k1",*
1413,Kiwi,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1413,10,W,*,purl,*
1413,Kiwi,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1413,11,R,k1*,"yo, (k2-tog) 3 times, k1, (yo, k1) twice, (ssk) 3 times, yo, k1",*
1413,Kiwi,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1413,12,W,*,purl,*
