StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,1,R,*,purl,*,
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,2,W,*,knit,*,
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,3,R,*,purl,*,
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,4,W,*,knit,*,
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,5,R,*,purl,*,
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,6,W,*,knit,*,
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,7,R,p5*,"p2-tog, yo, p5, yo, p2-tog, p3",*,p5
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,8,W,*,knit,*,
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,9,R,p4*,"p2-tog, yo, p7, yo, p2-tog, p1",*,p4
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,10,W,*,knit,*,
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,11,R,p5*,"p2-tog, yo, p5, yo, p2-tog, p3",*,p5
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,12,W,*,knit,*,
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,13,R,*,purl,*,
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,14,W,*,knit,*,
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,15,R,p9*,"yo, p2-tog, p10",*,p8
1417,Eyelet,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1417,16,W,*,knit,*,
