StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
1422,Encores,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1422,1,R,p2*,"k2, yo, ssk, p2",*
1422,Encores,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1422,2,W,*,Knit the knit stitches; purl the purl stitches; knit the yarn over loops,*
1422,Encores,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1422,3,R,p2*,"k1, yo, p1, ssk, p2",*
1422,Encores,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1422,4,W,*,Knit the knit stitches; purl the purl stitches; knit the yarn over loops,*
1422,Encores,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1422,5,R,p2*,"yo, p2, ssk, p2",*
1422,Encores,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1422,6,W,*,Knit the knit stitches; purl the purl stitches; knit the yarn over loops,*
1422,Encores,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1422,7,R,p2*,"k2-tog, yo, k2, p2",*
1422,Encores,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1422,8,W,*,Knit the knit stitches; purl the purl stitches; knit the yarn over loops,*
1422,Encores,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1422,9,R,p2*,"k2-tog, p2, yo, p2",*
1422,Encores,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1422,10,W,*,Knit the knit stitches; purl the purl stitches; knit the yarn over loops,*
1422,Encores,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1422,11,R,p2*,"k2-tog, p2, yo, p2",*
1422,Encores,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1422,12,W,*,Knit the knit stitches; purl the purl stitches; knit the yarn over loops,*
