StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1426,Lace V's,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1426,1,R,k5*,"ssk, yo, k6",*,k7
1426,Lace V's,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1426,2,W,*,purl,*,
1426,Lace V's,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1426,3,R,k4*,"ssk, yo, k1, yo, k2-tog, k3",*,k5
1426,Lace V's,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1426,4,W,*,purl,*,
1426,Lace V's,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1426,5,R,k3*,"ssk, yo, k3, yo, k2-tog, k1",*,k4
1426,Lace V's,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1426,6,W,*,purl,*,
1426,Lace V's,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1426,7,R,*,knit,*,
1426,Lace V's,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1426,8,W,*,purl,*,
1426,Lace V's,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1426,9,R,*,knit,*,
1426,Lace V's,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1426,10,W,*,purl,*,
