StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,1,R,k1*,"yo, k2-tog, (k1, yo, k2-tog) 3 times, k13",*,k2
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,2,W,*,purl,*,
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,3,R,k2*,"ssk, yo, (k1, ssk, yo) 3 times, k13",*,k1
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,4,W,*,purl,*,
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,5,R,k1*,"yo, k2-tog, (k1, yo, k2-tog) 3 times, k13",*,k2
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,6,W,*,purl,*,
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,7,R,k2*,"ssk, yo, (k1, ssk, yo) 3 times, k13",*,k1
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,8,W,*,purl,*,
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,9,R,k1*,"yo, k2-tog, (k1, yo, k2-tog) 3 times, k13",*,k2
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,10,W,*,purl,*,
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,11,R,k2*,"ssk, yo, (k1, ssk, yo) 3 times, k13",*,k1
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,12,W,*,purl,*,
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,13,R,k14*,"ssk, yo (k1, ssk, yo) 3 times, k13",*,
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,14,W,*,purl,*,
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,15,R,k13*,"yo, k2-tog, (k1, yo, k2-tog) 3 times, k13",*,k14
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,16,W,*,purl,*,
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,17,R,k14*,"ssk, yo (k1, ssk, yo) 3 times, k13",*,
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,18,W,*,purl,*,
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,19,R,k13 *,"yo, k2-tog, (k1, yo, k2-tog) 3 times, k13",*,k14
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,20,W,*,purl,*,
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,21,R,k14*,"ssk, yo (k1, ssk, yo) 3 times, k13",*,
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,22,W,*,purl,*,
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,23,R,k13*,"yo, k2-tog, (k1, yo, k2-tog) 3 times, k13",*,k14
1429,Checker Games,Multiple of 24 stitches,plus 14 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1429,24,W,*,purl,*,
