StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
142,X and Diamond Border 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=142,1,R,k1*,k16,*
142,X and Diamond Border 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=142,2,W,k1*,k16,*
142,X and Diamond Border 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=142,3,R,k1*,"k4, (p1, k5) twice",*
142,X and Diamond Border 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=142,4,W,p1*,"(p3, k1) 3 times, p4",*
142,X and Diamond Border 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=142,5,R,k1*,"k2, p1, k3, p1, k1, (p1, k3) twice",*
142,X and Diamond Border 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=142,6,W,p1*,"p1, k1, (p3, k1) 3 times, p2",*
142,X and Diamond Border 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=142,7,R,k1*,"p1, k3, p1, k5, p1, k3, p1, k1",*
142,X and Diamond Border 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=142,8,W,k1*,"p3, k1, p7, k1, p3, k1",*
142,X and Diamond Border 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=142,9,R,k1*,"p1, k3, p1, k5, p1, k3, p1, k1",*
142,X and Diamond Border 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=142,10,W,p1*,"p1, k1, (p3, k1) 3 times, p2",*
142,X and Diamond Border 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=142,11,R,k1*,"k2, p1, k3, p1, k1, (p1, k3) twice",*
142,X and Diamond Border 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=142,12,W,p1*,"(p3, k1) 3 times, p4",*
142,X and Diamond Border 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=142,13,R,k1*,"k4, (p1, k5) twice",*
142,X and Diamond Border 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=142,14,W,k1*,k16,*
