StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,1,R,p2*,"yo, k2-tog, yo (k2-tog) 3 times, k2, yo, k3, yo, ssk, yo, p2",*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,2,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,3,R,p2*,"yo, k2-tog, k3-tog twice, yo, k1, yo, k2, (ssk, yo) twice, p2",*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,4,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,5,R,p2*,"yo, k4-tog, yo, k3, yo, k2, (ssk, yo) twice, p2",*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,6,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,7,R,p2*,"yo, k2-tog, yo, k1, yo, k2, ssk, yo, k2, (ssk, yo) twice, p2",*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,8,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,9,R,p2*,"yo, k2-tog, yo, k3, yo, k2, ssk twice, (ssk, yo) twice, p2",*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,10,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,11,R,p2*,"(yo, k2-tog) twice, k2, yo, k1, yo, (sl 1-k2-tog-psso) twice, ssk, yo, p2",*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,12,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,13,R,p2*,"(yo, k2-tog) twice, k2, yo, k3, yo, sl 1-k3-tog-psso, yo, p2",*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,14,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,15,R,p2*,"(yo, k2-tog) twice, k2, yo, ssk, k2, yo, k1, yo, ssk, yo, p2",*
1433,Bellflowers,Multiple of 17 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1433,16,W,*,Knit the knit stitches; purl the purl stitches; purl the yarn over loops,*
