StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,1,R,k5*,"yo, ssk, k11",*,k6
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,2,W,*,purl,*,
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,3,R,k6*,"yo, ssk, k11",*,k5
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,4,W,*,purl,*,
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,5,R,k2*,"yo, ssk, k3, yo, ssk, k6",*,k4
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,6,W,*,purl,*,
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,7,W,k1*,"(yo, ssk) twice, k3, yo, ssk, k4",*,k3
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,8,W,*,purl,*,
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,9,R,k2*,"yo, ssk, k3, k2-tog, yo, k6",*,k4
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,10,W,*,purl,*,
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,11,R,k6*,"k2-tog, yo, k11",*,k5
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,12,W,*,purl,*,
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,13,R,k5*,"k2-tog, yo, k11",*,k6
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,14,W,*,purl,*,
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,15,R,k4*,"k2-tog, yo, k3, yo, ssk, k6",*,k2
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,16,W,*,purl,*,
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,17,R,k3*,"k2 tog, yo, k3, (yo, ssk) twice, k4",*,k1
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,18,W,*,purl,*,
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,19,R,k4*,"yo, ssk, k3, yo, ssk, k6",*,k2
1449,Peach Blossoms,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1449,20,W,*,purl,*,
