StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,1,R,k3*,"ssk, k2-b, yo, k5, yo, k2-b, k2-tog, k3",*,
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,2,W,*,knit the knit stitches; purl the purl stitches; p1-b above each k1-b; purl the yarn over loops,*,
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,3,R,k4*,"ssk, k2-b, yo, k3, yo, k2-b, k2-tog, k5",*,k4
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,4,W,*,knit the knit stitches; purl the purl stitches; p1-b above each k1-b; purl the yarn over loops,*,
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,5,R,k5*,"ssk, k2-b, yo, k1, yo, k2-b, k2-tog, k7",*,k5
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,6,W,*,knit the knit stitches; purl the purl stitches; p1-b above each k1-b; purl the yarn over loops,*,
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,7,R,k4*,"ssk, k2-b, yo, k3, yo, k2-b, k2-tog, k5",*,k4
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,8,W,*,knit the knit stitches; purl the purl stitches; p1-b above each k1-b; purl the yarn over loops,*,
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,9,R,k3*,"ssk, k2-b, yo, k5, yo, k2-b, k2-tog, k3",*,
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,10,W,*,knit the knit stitches; purl the purl stitches; p1-b above each k1-b; purl the yarn over loops,*,
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,11,R,k4*,"k2-b, yo, k2, sl 2-k1-p2sso, k2, yo, k2-b, k5",*,k4
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,12,W,*,knit the knit stitches; purl the purl stitches; p1-b above each k1-b; purl the yarn over loops,*,
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,13,R,k3*,"k2-b, yo, ssk, k5, k2-tog, yo, k2-b, k3",*,
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,14,W,*,knit the knit stitches; purl the purl stitches; p1-b above each k1-b; purl the yarn over loops,*,
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,15,R,k4*,"yo, k2-b, ssk, k3, k2-tog, k2-b, yo, k5",*,k4
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,16,W,*,knit the knit stitches; purl the purl stitches; p1-b above each k1-b; purl the yarn over loops,*,
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,17,R,k5*,"yo, k2-b, ssk, k1, k2-tog, k2-b, yo, k7",*,k5
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,18,W,*,knit the knit stitches; purl the purl stitches; p1-b above each k1-b; purl the yarn over loops,*,
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,19,R,k6*,"yo, k2-b, sl 2-k1-p2sso, k2-b, yo, k9",*,k6
1451,Lace Oval,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1451,20,W,*,knit the knit stitches; purl the purl stitches; p1-b above each k1-b; purl the yarn over loops,*,
