StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,1,R,k1*,"yo, ssk, k6",*,end last repeat as k8
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,2,W,*,purl,*,
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,3,R,k2*,"yo, k2, sl 2-k1-p2sso, k2, yo, k1",*,end last repeat k2 instead of k1
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,4,W,*,purl,*,
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,5,R,k2*,"yo, k2, sl 2-k1-p2sso, k2, yo, k1",*,end last repeat k2 instead of k1
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,6,W,*,purl,*,
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,7,R,k2*,"yo, k2, sl 2-k1-p2sso, k2, yo, k1",*,end last repeat k2 instead of k1
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,8,W,*,purl,*,
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,9,R,k5*,"yo, ssk, k6",*,end last repeat k4 instead of k6
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,10,W,*,purl,*,
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,11,R,"k1, k2-tog*","k2, yo, k1, yo, k2, sl 2-k1-p2sso",*,"k2, yo, k1, yo, k2, ssk, k1"
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,12,W,*,purl,*,
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,13,R,"k1, k2-tog *","k2, yo, k1, yo, k2, sl 2-k1-p2sso",*,"end last repeat with k2, yo, k1, yo, k2, ssk, k1"
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,14,W,*,purl,*,
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,15,R,"k1, k2-tog *","k2, yo, k1, yo, k2, sl 2-k1-p2sso",*,"end last repeat as k2, yo, k1, yo, k2, ssk, k1"
1455,Little Buds,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1455,16,W,*,purl,*,
