StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1462,Tiny Diamond Mesh,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1462,1,R,k4*,"yo, sl 1-k2-tog-psso, M1, k2",*,k1
1462,Tiny Diamond Mesh,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1462,2,W,*,purl,*,
1462,Tiny Diamond Mesh,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1462,3,R,k3*,"yo, sl 1-k2-tog-psso, M1, k2",*,
1462,Tiny Diamond Mesh,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1462,4,W,*,purl,*,
1462,Tiny Diamond Mesh,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1462,5,R,k2*,"yo, sl 1-k2-tog-psso, M1, k2",*,k3
1462,Tiny Diamond Mesh,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1462,6,W,*,purl,*,
1462,Tiny Diamond Mesh,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1462,7,R,k1*,"yo, sl 1-k2-tog-psso, M1, k2",*,k4
1462,Tiny Diamond Mesh,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1462,8,W,*,purl,*,
1462,Tiny Diamond Mesh,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1462,9,R,k5*,"yo, sl 1-k2-tog-psso, M1, k2",*,k5
1462,Tiny Diamond Mesh,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1462,10,W,*,purl,*,
