StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,1,R,p2*,"p2-tog, yo twice, p2-tog, p12",*,p2
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,2,W,*,"knit the knit stitches; (k1, k1-b) in the double yarn overs",*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,3,R,*,"(p2-tog, yo twice, p2-tog) twice, p8",*,"(p2-tog, yo twice, p2-tog) twice"
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,4,W,*,"knit the knit stitches; (k1, k1-b) in the double yarn overs",*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,5,R,p2*,"p2-tog, yo twice, p2-tog, p12",*,p2
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,6,W,*,"knit the knit stitches; (k1, k1-b) in the double yarn overs",*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,7,R,*,"(p2-tog, yo twice, p2-tog) twice, p8",*,"(p2-tog, yo twice, p2-tog) twice"
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,8,W,*,"knit the knit stitches; (k1, k1-b) in the double yarn overs",*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,9,R,p2*,"p2-tog, yo twice, p2-tog, p12",*,p2
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,10,W,*,"knit the knit stitches; (k1, k1-b) in the double yarn overs",*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,11,R,*,purl,*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,12,W,*,knit,*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,13,R,p10*,"p2-tog, yo twice, p2-tog, p12",*,p10
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,14,W,*,"knit the knit stitches; (k1, k1-b) in the double yarn overs",*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,15,R,p8*,"(p2-tog, yo twice, p2-tog) twice, p8",*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,16,W,*,"knit the knit stitches; (k1, k1-b) in the double yarn overs",*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,17,R,p10*,"p2-tog, yo twice, p2-tog, p12",*,p10
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,18,W,*,"knit the knit stitches; (k1, k1-b) in the double yarn overs",*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,19,R,p8*,"(p2-tog, yo twice, p2-tog) twice, p8",*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,20,W,*,"knit the knit stitches; (k1, k1-b) in the double yarn overs",*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,21,R,p10*,"p2-tog, yo twice, p2-tog, p12",*,p10
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,22,W,*,"knit the knit stitches; (k1, k1-b) in the double yarn overs",*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,23,R,*,purl,*,
1471,Floweret,Multiple of 16 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1471,24,W,*,knit,*,
