StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,1,R,k4*,"sl 2 wyif, k3, sl 1 wyif, k3, sl 2 wyif, k5",*,k4
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,2,W,*,purl,*,
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,3,R,K3*,"sl 2 wyif, k3, sl 3 wyif, k3, sl 2 wyif, k3",*,
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,4,W,*,purl,*,
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,5,R,k2*,"sl 2 wyif, k3, sl 2 wyif, k1, sl 2 wyif, k3, sl 2 wyif, k1",*,k2
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,6,W,*,purl,*,
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,7,R,"k1, sl 2 wyif *","(k3, sl 2 wyif) twice, k3, sl 3 wyif",*,"sl 2 wyif, k1"
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,8,W,*,purl,*,
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,9,R,k1*,"sl 1 wyif, k3, sl 2 wyif, k5, sl 2 wyif, k3",*,"sl 1, k1"
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,10,W,*,purl,*,
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,11,R,"k1, sl 2 wyif *","(k3, sl 2 wyif) twice, k3, sl 3 wyif",*,"sl 2 wyif, k1"
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,12,W,*,purl,*,
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,13,R,k2*,"sl 2 wyif, k3, sl 2 wyif, k1, sl 2 wyif, k3, sl 2 wyif, k1",*,k2
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,14,W,*,purl,*,
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,15,R,k3*,"sl 2 wyif, k3, sl 3 wyif, k3, sl 2 wyif, k3",*,
1506,Slip Stitch Diamonds,Multiple of 16 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1506,16,W,*,purl,*,
