StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1507,Steps and Ladders,Multiple of 11 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1507,1,R,k1*,"sl 3 wyif, k8",*,"sl 3 wyif, k1"
1507,Steps and Ladders,Multiple of 11 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1507,2,W,*,purl,*,
1507,Steps and Ladders,Multiple of 11 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1507,3,R,k1*,"sl 3 wyif, k5, sl 2 wyif, k1",*,"sl 3, wyif, k1"
1507,Steps and Ladders,Multiple of 11 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1507,4,W,*,purl,*,
1507,Steps and Ladders,Multiple of 11 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1507,5,R,k1*,"sl 3 wyif, k4, sl 2 wyif, k2",*,"sl 3, wyif, k1"
1507,Steps and Ladders,Multiple of 11 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1507,6,W,*,purl,*,
1507,Steps and Ladders,Multiple of 11 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1507,7,R,k1*,"sl 3 wyif, k3, sl 2 wyif, k3",*,"sl 3, wyif, k1"
1507,Steps and Ladders,Multiple of 11 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1507,8,W,*,purl,*,
1507,Steps and Ladders,Multiple of 11 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1507,9,R,k1*,"sl 3 wyif, k2, sl 2 wyif, k4",*,"sl 3, wyif, k1"
1507,Steps and Ladders,Multiple of 11 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1507,10,W,*,purl,*,
1507,Steps and Ladders,Multiple of 11 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1507,11,R,k1*,"sl 3 wyif, k1, sl 2 wyif, k5",*,"sl 3, wyif, k1"
1507,Steps and Ladders,Multiple of 11 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1507,12,W,*,purl,*,
