StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,1,R,A,*,"k3, sl 1 wyib, (k2, sl 1 wyib) twice, k2",*,k1
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,2,W,A,p1*,"p2, sl 1 wyif, (p2, sl 1 wyif) twice, p3",*,
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,3,R,B,*,"(k2, sl 1 wyib) twice, k1, sl 1 wyib, k2, sl 1 wyib, k1",*,k1
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,4,R,B,p1*,"p1, sl 1 wyif, p2, sl 1 wyif, p1, sl 1 wyif, p2, sl 1 wyif, p2",*,
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,5,R,A,*,"k1, sl 1 wyib, k2, sl 1 wyib, k3, sl 1 wyib, k2, sl 1 wyif",*,k1
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,6,W,A,p1*,"sl 1 wyif, p2, sl 1 wyif, p3, sl 1 wyif, p2, sl 1 wyif, p1",*,
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,7,R,B,*,"(k2, sl 1 wyib) twice, k1, sl 1 wyib, k2, sl 1 wyib, k1",*,k1
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,8,R,B,p1*,"p1, sl 1 wyif, p2, sl 1 wyif, p1, sl 1 wyif, p2, sl 1 wyif, p2",*,
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,9,R,A,*,"k3, sl 1 wyib, (k2, sl 1 wyib) twice, k2",*,k1
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,10,W,A,p1*,"p2, sl 1 wyif, (p2, sl 1 wyif) twice, p3",*,
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,11,R,B,*,"k1, sl 1 wyib, k3, sl 1 wyib, k1, sl 1 wyib, k3, sl 1 wyib",*,k1
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,12,W,B,p1*,"sl 1 wyif, p3, sl 1 wyif, p1, sl 1 wyif, p3, sl 1 wyif, p1",*,
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,13,R,A,*,"k2, sl 1 wyib, k1, sl 1 wyib, k3, sl 1 wyib, k1, sl 1 wyib, k1",*,k1
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,14,W,A,p1*,"p1, sl 1 wyif, p1, sl 1 wyif, p3, sl wyif, p1, sl 1 wyif, p2",*,
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,15,R,B,*,"k1, sl 1 wyib, k3, sl 1 wyib, k1, sl 1 wyib, k3, sl 1 wyib",*,k1
1543,Squares,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1543,16,W,B,p1*,"sl 1 wyif, p3, sl 1 wyif, p1, sl 1 wyif, p3, sl 1 wyif, p1",*,
