StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,1,R,B,k2*,"sl 1-k2-psso the 2 knit stitches, sl 2-k2- pass 2nd slip stitch over the 2 knit stitches, k1",*,
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,2,W,B,p2*,"yo, p1, sl 1 wyif, p1, yo, p3",*,
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,3,R,A,k1*,"sl 1-k2-psso the 2 knit stitches, k1, sl 1-k2-psso the 2 knit stitches, sl 1 wyib",*,k1
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,4,W,A,p1*,"sl 1 wyif, p1, yo, p3, yo, p1",*,p1
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,5,R,B,k3*,"sl 2-k2-pass 2nd slip stitch over the 2 knit stitches, k1, sl 1-k2-psso the 2 knit stitches",*,"sl 2-k2-pass 2nd slip stitch over the 2 knit stitches, k3"
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,6,W,B,p4*,"yo, p1, sl 1 wyif, p1, yo, p3",*,"yo, p1, sl 1 wyif, p3"
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,7,R,A,k3*,"sl 1-k2-psso the 2 knit stitches, sl 2-k2-pass 2nd slip stitch over the 2 knit stitches, k1",*,omit k1 from last repeat
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,8,W,A,p1*,"yo, p1, sl 1 wyif, p1, yo, p3",*,p1
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,9,R,B,k1*,"sl 2-k2-pass 2nd slip stitch over the 2 knit stitches, k1, sl 1-k2-psso the 2 knit sts",*,k1
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,10,W,B,p2*,"yo, p3, yo, p1, sl 1 wyif, p1",*,
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,11,R,A,*,"k1, sl 1-k2-psso the 2 knit stitches, sl 2-k2, pass 2nd slip stitch over the 2 knit stitches",*,k2
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,12,W,A,*,"p3, yo, p1, sl 1 wyif, p1, yo",*,p2
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,13,R,B,k4*,"sl 1-k2-psso the 2 knit stitches, sl 2-k2, pass 2nd slip stitch over the 2 knit stitches; k1",*,"sl 1-k2-psso the 2 knit stitches, sl 1 wyib, k2"
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,14,W,B,p2*,"sl 1 wyif, p1, yo, p3, yo, p1",*,"sl 1 wyif, p1, yo, p5"
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,15,R,A,k2*,"sl 2-k2-pass 2nd slip stitch over the 2 knit stitches, k1, sl 1-k2-psso the 2 knit sts",*,
1562,Fancy Diagonal Stripe,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1562,16,W,A,*,"p1, yo, p3, yo, p1, sl 1 wyif",*,p2
