StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,1,R,B,*,knit,*,
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,2,W,B,*,purl,*,
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,3,R,B,*,knit,*,
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,4,W,B,p2*,"RT, p1, LT, p1",*,p1
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,5,R,C,k4*,"drop next stitch off needle and unravel 4 rows down; insert needle from front into the stitch in 5th row below and knit, catching the 4 loose strands in stitch; k5",*,k4
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,6,W,C,*,purl,*,
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,7,R,C,*,knit,*,
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,8,W,C,p2*,"LT, p1, RT, p1",*,p1
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,9,R,A,k1*,"drop next stitch off needle and unravel 4 rows down; insert needle from front into the stitch in 5th row below and knit, catching the 4 loose strands in stitch; k5",*,k1
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,10,W,A,*,purl,*,
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,11,R,A,*,knit,*,
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,12,W,A,p2*,"RT, p1, LT, p1",*,p1
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,13,R,B,k4*,"drop next stitch off needle and unravel 4 rows down; insert needle from front into the stitch in 5th row below and knit, catching the 4 loose strands in stitch; k5",*,k4
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,14,W,B,*,purl,*,
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,15,R,B,*,knit,*,
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,16,W,B,p2*,"LT, p1, RT, p1",*,p1
1565,Sunrise Shell,Multiple of 6 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1565,17,R,C,k1*,"drop next stitch off needle and unravel 4 rows down; insert needle from front into the stitch in 5th row below and knit, catching the 4 loose strands in stitch; k5",*,k1
