StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,1,R,B,*,knit,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,2,W,B,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,3,R,B,*,knit,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,4,W,B,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,5,R,A,k3*,"drop next stitch off needle and unravel 4 rows down; insert needle from front into Color A stitch 5 rows below and knit it, catching the 4 loose strands in stitch; k3",*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,6,W,A,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,7,R,C,*,knit,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,8,W,C,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,9,R,C,*,knit,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,10,W,C,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,11,R,A,k1*,"drop next stitch off needle and unravel 4 rows down; insert needle from front into Color A stitch 5 rows below and knit it, catching the 4 loose strands in stitch; k3",*,k1
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,12,W,A,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,13,R,D,*,knit,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,14,W,D,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,15,R,D,*,knit,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,16,W,D,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,17,R,A,k3*,"drop next stitch off needle and unravel 4 rows down; insert needle from front into Color A stitch 5 rows below and knit it, catching the 4 loose strands in stitch; k3",*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,18,W,A,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,19,R,B,*,knit,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,20,W,B,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,21,R,B,*,knit,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,22,W,B,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,23,R,A,k1*,"drop next stitch off needle and unravel 4 rows down; insert needle from front into Color A stitch 5 rows below and knit it, catching the 4 loose strands in stitch; k3",*,k1
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,24,W,A,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,25,R,C,*,knit,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,26,W,C,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,27,R,C,*,knit,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,28,W,C,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,29,R,A,k3*,"drop next stitch off needle and unravel 4 rows down; insert needle from front into Color A stitch 5 rows below and knit it, catching the 4 loose strands in stitch; k3",*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,30,W,A,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,31,R,D,*,knit,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,32,W,D,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,33,R,D,*,knit,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,34,W,D,*,purl,*,
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,35,R,A,k1*,"drop next stitch off needle and unravel 4 rows down; insert needle from front into Color A stitch 5 rows below and knit it, catching the 4 loose strands in stitch; k3",*,k1
1572,Four-Color Blister,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1572,36,W,A,*,purl,*,
