StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
1584,Cluster Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1584,1,W,A,p1*,"p1 wrapping yarn twice, p5, p1 wrapping yarn twice, p1",*,
1584,Cluster Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1584,2,R,B,k1*,"sl 1 wyib dropping extra wrap, k5, sl 1 wyib dropping extra wrap, k1",*,
1584,Cluster Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1584,3,W,B,p1*,"sl 1 wyif, p5, sl 1 wyif, p1",*,
1584,Cluster Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1584,4,R,B,k1*,"sl 1 wyib, k5, sl 1 wyib, k1",*,
1584,Cluster Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1584,5,W,B,*,"purl, dropping all elongated Color A slip stitches of needle to back",*,
1584,Cluster Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1584,6,R,A,"k1, sl 1 wyib, k1 *","pick up 1st dropped stitch and knit it, k1, pick up next dropped st and knit it; then (wyib sl the last 3 stitches worked back to the left needle, pass yarn to front, sl the same 3 stitches back again to right needle, pass yarn to back) twice; k1, sl 3 wyib, k1",*,"sl 1 wyib, k1"
1584,Cluster Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1584,7,W,A,"p1, sl 1 wyif*","(p1, p1 wrapping yarn twice) twice, p1, sl 3 wyif",*,"sl 1 wyif, p1"
1584,Cluster Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1584,8,R,B,k3*,"sl 1 wyib dropping extra wrap, k1, sl 1 wyib dropping extra wrap, k5",*,k3
1584,Cluster Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1584,9,W,B,p3*,"sl 1 wyif, p1, sl 1 wyif, p5",*,p3
1584,Cluster Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1584,10,R,B,k3*,"sl 1 wyib, k1, sl 1 wyib, k5",*,k3
1584,Cluster Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1584,11,W,B,*,"purl, dropping all elongated Color A slip stitches of needle to back",*,
1584,Cluster Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1584,12,R,A,"k1, pick up 1st dropped stitch and knit it, k1, sl 3 wyib, k1 *","pick up 1st dropped stitch and knit it, k1, pick up next dropped st and knit it; then (wyib sl the last 3 stitches worked back to the left needle, pass yarn to front, sl the same 3 stitches back again to right needle, pass yarn to back) twice; k1, sl 3 wyib, k1",*,"pick up last dropped st and knit it, k1"
1584,Cluster Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1584,13,W,A,p1*,"p1 wrapping yarn twice, p1, sl 3 wyif, p1, p1 wrapping yarn twice, p1",*,
