StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,1,W,A,k3*,"p1, k1, p1, k5",*,k3
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,2,R,B,k3*,"sl 1 wyib, k1, sl 1 wyib, k5",*,k3
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,3,W,B,p3*,"sl 1 wyif, p1 sl 1 wyif, p5",*,p3
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,4,R,B,k3*,"sl 1 wyib, k1, sl 1 wyib, k5",*,k3
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,5,W,B,p3*,"sl 1 wyif, p1 sl 1 wyif, p5",*,p3
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,6,R,A,k1*,"skip 2 stitches knit Color A slip stitch over the 2 skipped stitches; k3, skip next Color A slipped stitch, knit next 2 stitches through the slipped stitch; then knit the slipped stitch in back loop; k1",*,
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,7,W,A,k3*,"p1, k1, p1, k5",*,k3
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,8,R,B,k3*,"sl 1 wyib, k1, sl 1 wyib, k5",*,k3
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,9,W,B,p3*,"sl 1 wyif, p1 sl 1 wyif, p5",*,p3
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,10,R,B,k3*,"sl 1 wyib, k1, sl 1 wyib, k5",*,k3
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,11,W,B,p3*,"sl 1 wyif, p1 sl 1 wyif, p5",*,p3
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,12,R,A,k1*,"skip 2 stitches, knit Color A slip stitch over the 2 skipped stitches, k2, sl 1 wyib, skip next Color A slipped stitch, knit next 2 stitches through the slipped stitch, then knit the slipped stitch in back loop; k1",*,
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,13,W,A,k1*,"p1, k2, sl 1 wyif, k2, p1, k1",*,
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,14,R,B,k1*,"sl 1 wyib, k5, sl 1 wyib, k1",*,
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,15,W,B,p1*,"sl 1 wyif, p5, sl 1 wyif, p1",*,
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,16,R,B,k1*,"sl 1 wyib, k5, sl 1 wyib, k1",*,
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,17,W,B,p1*,"sl 1 wyif, p5, sl 1 wyif, p1",*,
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,18,R,A,k1*,"skip Color A slip stitch, knit next 2 stitches through the slipped stitch, then knit the slip stitch in back loop; k1, skip next 2 stitches, knit next Color A slipped stitch over the 2 skipped stitches; k3",*,
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,19,W,A,k1*,"p1, k5, p1, k1",*,
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,20,R,B,k1*,"sl 1 wyib, k5, sl 1 wyib, k1",*,
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,21,W,B,p1*,"sl 1 wyif, p5, sl 1 wyif, p1",*,
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,22,R,B,k1*,"sl 1 wyib, k5, sl 1 wyib, k1",*,
1587,Swallowtail Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1587,23,W,B,p1*,"sl 1 wyif, p5, sl 1 wyif, p1",*,
