StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,1,W,k2*,"p3, k2",*,
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,2,R,p2*,"Twist, p2",*,
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,3,W,k2*,"p3, k2",*,
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,4,R,p2*,"k3, p2, Twist, p2",*,"k3, p2"
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,5,W,k2*,"p3, k2",*,
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,6,R,p2*,"Twist, p2",*,
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,7,W,k2*,"p3, k2",*,
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,8,R,p2*,"k3, p2, Twist, p2",*,"k3,p2"
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,9,W,k2*,"p3, k2",*,
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,10,R,p2*,"Twist, p2",*,
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,11,W,k2*,"p3, k2",*,
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,12,R,p2*,"Twist, p2, k3, p2",*,"Twist, p2"
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,13,W,k2*,"p3, k2",*,
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,14,R,p2*,"Twist, p2",*,
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,15,W,k2*,"p3, k2",*,
159,Figure-Eight Twisted Ribbing,Multiple of 10 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=159,16,R,p2*,"Twist, p2, k3, p2",*,"Twist, p2"
