StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,1,R,*,"p6, k5-b, p6",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,2,W,*,"k6, p5-b, k6",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,3,R,*,"p4, p2-tog, k1-b, inc, p1, inc, k1-b, p2-tog, p4",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,4,W,*,"k5, (p1-b, k1) 3 times, p1-b, k5",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,5,R,*,"p3, p2-tog, k1-b, (p1, inc) twice, p1, k1-b, p2-tog, p3",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,6,W,*,"k4, p1-b, k1, (p2-b, k1) twice, p1-b, k4",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,7,R,*,"p2, p2-tog, k1-b, p1, k1-b, inc, p1, inc, k1-b, p1, k1-b, p2-tog, p2",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,8,W,*,"k3, (p1-b, k1) 5 times, p1-b, k3",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,9,R,*,"p1, p2-tog, (k1-b, p1)  twice, inc, p1, inc, (p1, k1-b) twice, p2-tog, p1",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,10,W,*,"k2, (p1-b, k1) twice, p2-b, k1, p2-b, (k1, p1-b) twice, k2",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,11,R,*,"p2-tog, (k1-b, p1) twice, k1-b, inc, p1, inc, k1-b, (p1, k1-b) twice, p2-tog",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,12,W,k1*,"p1-b, k1",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,13,R,p1*,"k1-b, p1",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,14,W,k1*,"p1-b, k1",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,15,R,*,"purl inc, (k1-b, p1) twice, k2-tog-b, k1-b, p1, k1-b, k2-tog, (p1, k1-b) twice, purl inc",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,16,W,*,"k2, (p1-b, k1) twice, p2-b, k1, p2-b, (k1, p1-b) twice, k2",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,17,R,*,"p1, purl inc, (k1-b, p1) twice, k2-tog-b, p1, k2-tog, (p1, k1-b) twice, purl inc, p1",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,18,W,*,"k3, (p1-b, k1) 5 times, p1-b, k3",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,19,R,*,"p2, purl inc, k1-b, p1, k2-tog-b, k1-b, p1, k1-b, k2-tog, p1, k1-b, purl inc, p2",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,20,W,*,"k4, p1-b, k1, (p2-b, k1) twice, p1-b, k4",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,21,R,*,"p3, purl inc, k1-b, p1, k2-tog-b, p1, k2-tog, p1, k1-b, purl inc, p3",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,22,W,*,"k5, (p1-b, k1) 3 times, p1-b, k5",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,23,R,*,"p4, purl inc, k1-b, k2-tog, k1-b, k2-tog-b, k1-b, purl inc, p4",*
1623,Dura-Europos 1,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1623,24,W,*,"k6, p5-b, k6",*
