StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1632,Wickerwork,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1632,1,W,p1*,"k2, p2",*,"k2, p1"
1632,Wickerwork,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1632,2,R,*,"k1, p1, RTp, LTp, p1, k1",*,
1632,Wickerwork,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1632,3,W,*,"p1, k1, p1, k2, p1, k1, p1",*,
1632,Wickerwork,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1632,4,R,*,"k1, RTp, p2, LTp, k1",*,
1632,Wickerwork,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1632,5,W,p2*,"k4, p4",*,"k4, p2"
1632,Wickerwork,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1632,6,R,*,knit,*,
1632,Wickerwork,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1632,7,W,p1*,"k2, p2",*,"k2, p1"
1632,Wickerwork,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1632,8,R,*,"LTp, p1, k2, p1, RTp",*,
1632,Wickerwork,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1632,9,W,*,"k1, p1, k1, p2, k1, p1, k1",*,
1632,Wickerwork,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1632,10,R,*,"p1, LTp, k2, RTp, p1",*,
1632,Wickerwork,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1632,11,W,k2*,"p4, k4",*,"p4, k2"
1632,Wickerwork,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1632,12,R,*,knit,*,
