StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,1,W,k2*,"p2, k4",*,"p2, k2"
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,2,R,k2*,"RT, k4, LT, k4",*,k2
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,3,W,k2*,"p2, k4",*,"p2, k2"
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,4,R,*,knit,*,
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,5,W,k2*,"p2, k4",*,"p2, k2"
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,6,R,k2 *,"RT, k4, LT, k4",*,k2
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,7,W,k2*,"p2, k4",*,"p2, k2"
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,8,R,k3*,"LT, k2, RT, k6",*,k3
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,9,W,k2*,"p3, k2, p3, k4",*,k2
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,10,R,k4*,"LT, RT, k8",*,k4
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,11,W,k2*,"p8, k4",*,k2
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,12,R,k5*,"RT, k10",*,k5
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,13,W,k2 *,"p8, k4",*,k2
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,14,R,k4*,"RT, LT, k8",*,k4
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,15,W,k2 *,"p3, k2, p3, k4",*,k2
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,16,R,k3*,"RT, k2, LT, k6",*,k3
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,17,W,k2 *,"p2, k4",*,"p2, k2"
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,18,R,k2*,"LT, k4, RT, k4",*,k2
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,19,W,k2 *,"p2, k4",*,"p2, k2"
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,20,R,*,knit,*,
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,21,W,k2*,"p2, k4",*,"p2, k2"
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,22,R,k2 *,"LT, k4, RT, k4",*,k2
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,23,W,k2*,"p2, k4",*,"p2, k2"
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,24,R,k9*,"LT, k2, RT, k6",*,k3
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,25,W,"k2, p2*","k4, p3, k2 ,p3",*,"k4, p2, k2"
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,26,R,k10*,"LT, RT, k8",*,k2
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,27,W,"k2, p2*","k4, p8",*,"k4, p2, k2"
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,28,R,k11*,"LT, k10",*,k1
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,29,W,"k2, p2 *","k4, p8",*,"k4, p2, k2"
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,30,R,"k10, *","RT, LT, k8",*,k2
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,31,W,"k2, p2 *","k4, p8",*,"k4, p2, k2"
1640,Heraldic,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1640,32,R,k9*,"RT, k2 ,LT, k6",*,k3
