StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,1,W,*,purl,*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,2,R,k1*,"LT, RT twice, k3, LT twice, RT, k1",*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,3,W,*,purl,*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,4,R,k2*,"LT, RT twice, k1, LT, twice, RT, k3",*,k2
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,5,W,*,purl,*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,6,R,k1*,"LT twice, RT, k3, LT, RT twice, k1",*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,7,W,*,purl,*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,8,R,k2*,"LT twice, RT, k1, LT, RT twice, k3",*,k2
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,9,W,*,purl,*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,10,R,k1*,"LT 3 times, k3, RT 3 times, k1",*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,11,W,*,purl,*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,12,R,k2*,"LT 3 times, k1, RT 3 times, k3",*,k2
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,13,W,*,purl,*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,14,R,k1*,"LT 3 times, k3, RT 3 times, k1",*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,15,W,*,purl,*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,16,R,k2*,"LT twice, RT, k1, LT, RT twice, k3",*,k2
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,17,W,*,purl,*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,18,R,k1*,"LT twice, RT, k3, LT, RT twice, k1",*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,19,W,*,purl,*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,20,R,k2*,"LT, RT twice, k1, LT, twice, RT, k3",*,k2
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,21,W,*,purl,*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,22,R,k1*,"LT, RT twice, k3, LT twice, RT, k1",*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,23,W,*,purl,*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,24,R,k2*,"RT 3 times, k1 ,LT 3 times, k3",*,k2
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,25,W,*,purl,*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,26,R,k1*,"RT 3 times, k3, LT 3 times, k1",*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,27,W,*,purl,*,
1641,Ribbed Leaf 1,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1641,28,R,k2 *,"RT 3 times, k1 ,LT 3 times, k3",*,k2
