StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1651,Tent Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1651,1,R,"LT twice, p6, RT twice"
1651,Tent Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1651,2,W,"k1, p3, k6, p3, k1"
1651,Tent Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1651,3,R,"p1, LT twice, p4, RT twice, p1"
1651,Tent Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1651,4,W,"k2, p3, k4, p3, k2"
1651,Tent Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1651,5,R,"p2, LT twice, p2, RT twice, p2"
1651,Tent Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1651,6,W,"k3, p3, k2 p3, k3"
1651,Tent Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1651,7,R,"p3, LT twice, RT twice, p3"
1651,Tent Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1651,8,W,"k4, p6, k4"
1651,Tent Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1651,9,R,"p4, LT, k2, RT, p4"
1651,Tent Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1651,10,W,"k5, p4, k5"
1651,Tent Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1651,11,R,"p5, LT, RT, p5"
1651,Tent Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1651,12,W,"p3, k3, p2, k3, p3"
