StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1661,Briar Rose,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1661,1,W,"k3, p1, k1, p2, k2, p1, k3"
1661,Briar Rose,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1661,2,R,"p3, LTp, p1, LTp, RTp, p3"
1661,Briar Rose,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1661,3,W,"k4, p2, k2, p1, k4"
1661,Briar Rose,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1661,4,R,"p2, (k1, yo, k1) in next stitch; turn and p3; turn and k3 wrapping yarn twice for each knit stitch; p1, LTp, p1, RT, p4"
1661,Briar Rose,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1661,5,W,"k4, p2, k1, p1, k2, sl next three stitches dropping the extra wraps, sl the same three stitches back to the left needle and p3-tog-b; k2"
1661,Briar Rose,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1661,6,R,"p2, LTp, p1, k1-b, RTp, LTp, p3"
1661,Briar Rose,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1661,7,W,"k3, p1, k2, p2, k1, p1, k3"
1661,Briar Rose,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1661,8,R,"p3, LTp, RTp, p1, RTp, p3"
1661,Briar Rose,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1661,9,W,"k4, p1, k2, p2, k4"
1661,Briar Rose,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1661,10,R,"p4, LT, p1, RTp, p1, (k1, yo, k1) in next stitch; turn and p3; turn and k3 wrapping yarn twice for each knit stitch; p2"
1661,Briar Rose,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1661,11,W,"k2, sl next three stitches dropping the extra wraps, sl the same three stitches back to the left needle and p3-tog-b; k2, p1, k1, p2, k4"
1661,Briar Rose,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1661,12,R,"p3, RTp, LTp, k1-b, p1, RTp, p2"
