StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1668,Club,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1668,1,W,"K4, (p1, k1) 4 times, k3"
1668,Club,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1668,2,R,"p3, (RT) twice, p1, (LT) twice, p3"
1668,Club,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1668,3,W,"k3, (p1, k1) twice, k2, (p1, k1) twice, k2"
1668,Club,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1668,4,R,"p2, (RT) twice, p3, (LT) twice, p2"
1668,Club,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1668,5,W,"k2, (p1, k1) twice, k4, (p1, k1) twice, k1"
1668,Club,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1668,6,R,"p1, (RT) twice, p5, (LT) twice, p1"
1668,Club,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1668,7,W,"(k1, p1) twice, k7, (p1, k1) twice"
1668,Club,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1668,8,R,"p1, MB, p1, LT, p5, RT, p1, MB, p1"
1668,Club,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1668,9,W,"k4, p1, k5, p1, k4"
1668,Club,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1668,10,R,"p4, LT, p3, RT, p4"
1668,Club,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1668,11,W,"k5, p1, k3, p1, k5"
1668,Club,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1668,12,R,"p5, MB, p3, MB, p5"
