StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1669,Left-Twist Ramp,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1669,1,W,"k1, (p1, k1) 6 times"
1669,Left-Twist Ramp,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1669,2,R,"p1, (LT) 3 times, p6"
1669,Left-Twist Ramp,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1669,3,W,"k6, (p1, k1) 3 times, k1"
1669,Left-Twist Ramp,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1669,4,R,"p2, (LT) 3 times, p2, MB, p2"
1669,Left-Twist Ramp,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1669,5,W,"k5, (p1, k1) 3 times, k2"
1669,Left-Twist Ramp,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1669,6,R,"p3, (LT) 3 times, p4"
1669,Left-Twist Ramp,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1669,7,W,"k4, (p1, k1) 3 times, k3"
1669,Left-Twist Ramp,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1669,8,R,"p4, (LT) 3 times, p3"
1669,Left-Twist Ramp,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1669,9,W,"k3, (p1, k1) 3 times, k4"
1669,Left-Twist Ramp,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1669,10,R,"p2, MB, p2, (LT) 3 times, p2"
1669,Left-Twist Ramp,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1669,11,W,"k2, (p1, k1) 3 times, k5"
1669,Left-Twist Ramp,Multiple of 13 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1669,12,R,"p6, (LT) 3 times, p1"
