StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1683,Gordian Knot,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1683,1,R,"(p2, k2) twice, p2"
1683,Gordian Knot,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1683,2,W,"(k2, p2) twice, k2"
1683,Gordian Knot,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1683,3,R,"p2, slip next 4 stitches to dpn and hold in front, k2, then slip the 2 purl stitches from dpn back to left needle, then pass the dpn with 2 remaining knit stitches to back of work; p2 from left needle, then k2, from dpn; p2"
1683,Gordian Knot,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1683,4,W,"(k2, p2) twice, k2"
1683,Gordian Knot,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1683,5,R,"(p2, k2) twice, p2"
1683,Gordian Knot,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1683,6,W,"(k2, p2) twice, k2"
1683,Gordian Knot,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1683,7,R,"(p2, k2) twice, p2"
1683,Gordian Knot,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1683,8,W,"(k2, p2) twice, k2"
1683,Gordian Knot,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1683,9,R,"(p2, k2) twice, p2"
1683,Gordian Knot,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1683,10,W,"(k2, p2) twice, k2"
