StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,1,W,"k7, p4, k7"
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,2,R,"p6, slip 1 stitch to dpn and hold in back, k2, then k1 from dpn; slip 2 stitches to dpn and hold in front, k1, then k2 from dpn; p6"
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,3,W,knit all the knit stitches and purl all the purl stitches
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,4,R,"p5, slip 1 stitch to dpn and hold in back, k2, then k1 from dpn; k2; slip 2 stitches to dpn and hold in front, k1, then k2 from dpn; p5"
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,5,W,knit all the knit stitches and purl all the purl stitches
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,6,R,"p4, BC, BKC, FC, p4"
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,7,W,knit all the knit stitches and purl all the purl stitches
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,8,R,"p3, BC, p1, k4, p1, FC, p3"
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,9,W,knit all the knit stitches and purl all the purl stitches
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,10,R,"p2, BC, p2, BKC, p2, FC, p2"
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,11,W,knit all the knit stitches and purl all the purl stitches
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,12,R,"p1, BC, p3, k4, p3, FC, p1"
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,13,W,knit all the knit stitches and purl all the purl stitches
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,14,R,"p1, k2, p4, BKC, p4, k2, p1"
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,15,W,knit all the knit stitches and purl all the purl stitches
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,16,R,"p1, FC, p3, k4, p3, BC, p1"
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,17,W,knit all the knit stitches and purl all the purl stitches
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,18,R,"p2, FC, p2, BKC, p2, BC, p2"
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,19,W,knit all the knit stitches and purl all the purl stitches
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,20,R,"p3, FC, p1, k4, p1, BC, p3"
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,21,W,knit all the knit stitches and purl all the purl stitches
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,22,R,"p4, FC, BKC, BC, p4"
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,23,W,knit all the knit stitches and purl all the purl stitches
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,24,R,"p5, FC, k2, BC, p5"
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,25,W,knit all the knit stitches and purl all the purl stitches
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,26,R,"p6, FC, BC, p6"
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,27,W,knit all the knit stitches and purl all the purl stitches
1692,Rope and Diamond,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1692,28,R,"p7, slip next 2 stitches to dpn and hold in front, k2, then k2 from dpn; p7"
