StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,1,W,"k5, p8, k5"
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,2,R,"P4, SBC, k6, SFC, p4"
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,3,W,knit all the knit stitches and purl all the purl stitches
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,4,R,"p3, SBC, p1, k6, p1, SFC, p3"
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,5,W,knit all the knit stitches and purl all the purl stitches
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,6,R,"p2, SBC, p2, FC, p2, SFC, p2"
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,7,W,knit all the knit stitches and purl all the purl stitches
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,8,R,"p1, SBC, p3, k6, p3, SFC, p1"
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,9,W,knit all the knit stitches and purl all the purl stitches
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,10,R,"p1, SFC, p3, k6, p3, SBC, p1"
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,11,W,knit all the knit stitches and purl all the purl stitches
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,12,R,"p2, SFC, p2, FC, p2, SBC, p2"
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,13,W,knit all the knit stitches and purl all the purl stitches
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,14,R,"p3, SFC, p1, k6, p1, SBC, p3"
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,15,W,knit all the knit stitches and purl all the purl stitches
1697,Framed Cable,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1697,16,R,"p4. SFC, k6, SBC, p4"
