StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,1,R,"p5, k1-b, p5"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,2,W,"k5, p1, k5"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,3,R,"p5, k1-b, p5"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,4,W,"k2, (p1, k2) 3 times"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,5,R,"p2, (k1-b, p2) 3 times"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,6,W,"k2, p1, k5, p1, k2"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,7,R,"p2, FC, p3, BC, p2"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,8,W,"k3, (p1, k3) twice"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,9,R,"p3, slip next 4 stitches to dpn and hold in front, drop next stitch off left needle; slip the 3 purl stitches from dpn back tothe left needle, then with point of dpn pick up dropped stitch and place it on left needle after the 3 purl stitches; then k1, p3 from left needle; then k1-b from dpn; p3"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,10,W,"k3, (p1, k3) twice"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,11,R,"p2, BC, p3, FC, p2"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,12,W,"k2, p1, k5, p1, k2"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,13,R,"p2, (k1-b, p2) 3 times"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,14,W,"k2, (p1, k2) 3 times"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,15,R,"p5, k1-b, p5"
1704,Dry Bones Cable,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1704,16,W,"k5, p1, k5"
