StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,1,W,"k4, p3, k5"
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,2,R,"p4, TBC, p4"
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,3,W,knit all the knit stitches and purl all the purl stitches
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,4,R,"p3, DBC, SFC, p4"
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,5,W,knit all the knit stitches and purl all the purl stitches
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,6,R,"p2, DBC, p2, SFC, p3"
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,7,W,knit all the knit stitches and purl all the purl stitches
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,8,R,"p1, DBC, p4, SFC, p2"
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,9,W,knit all the knit stitches and purl all the purl stitches
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,10,R,"p1, DFC, p4, SBC, p2"
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,11,W,knit all the knit stitches and purl all the purl stitches
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,12,R,"p2, DFC, p2, SBC, p3"
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,13,W,knit all the knit stitches and purl all the purl stitches
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,14,R,"p3, DFC, SBC, p4"
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,15,W,knit all the knit stitches and purl all the purl stitches
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,16,R,"p4, TFC, p4"
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,17,W,knit all the knit stitches and purl all the purl stitches
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,18,R,"p4, SBC, DFC, p3"
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,19,W,knit all the knit stitches and purl all the purl stitches
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,20,R,"p3, SBC, p2, DFC, p2"
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,21,W,knit all the knit stitches and purl all the purl stitches
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,22,R,"p2, SBC, p4, DFC, p1"
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,23,W,knit all the knit stitches and purl all the purl stitches
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,24,R,"p2, SFC, p4, DBC, p1"
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,25,W,knit all the knit stitches and purl all the purl stitches
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,26,R,"p3, SFC, p2, DBC, p2"
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,27,W,knit all the knit stitches and purl all the purl stitches
1724,Riptide Wave,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1724,28,R,"p4, SFC, DBC, p3"
