StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,1,W,*,purl,*,
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,2,R,*,knit,*,
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,3,W,*,purl,*,
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,4,R,k1*,"k8, FC, BC",*,k1
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,5,W,*,purl,*,
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,6,R,*,knit,*,
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,7,W,*,purl,*,
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,8,R,k1*,"BC, FC, k8",*,k1
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,9,W,*,purl,*,
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,10,R,*,knit,*,
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,11,W,*,purl,*,
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,12,R,k1*,"FC, BC, k8",*,k1
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,13,W,*,purl,*,
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,14,R,*,knit,*,
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,15,W,*,purl,*,
1729,Rings,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1729,16,R,k1*,"k8, BC, FC",*,k1
