StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,1,W,k1*,"p6, k2, p2, k2",*,"p6, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,2,R,k1*,"BC, (k2, p2) twice",*,"BC, k3"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,3,W,k1 *,"p6, k2, p2, k2",*,"p6, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,4,R,k3*,"FC, p2, RT, p2, k2",*,"FC, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,5,W,k1*,"p6, k2, p2, k2",*,"p6, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,6,R,k7*,"p2, k2, p2, k6",*,k1
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,7,W,k1 *,"p6, k2, p2, k2",*,"p6, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,8,R,k1*,"BC, k2, p2, RT, p2",*,"BC, k3"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,9,W,k1 *,"p6, k2, p2, k2",*,"p6, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,10,R,k3*,"FC, (p2, k2) twice",*,"FC, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,11,W,k1*,"p6, k2, p2, k2",*,"p6, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,12,R,"k1, p2*","k2, SFC, p1, RT, p1, SBC",*,"k2, p2, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,13,W,k3*,"p2, k1",*,k2
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,14,R,"k1, p2*","RT, p1, SFC, k2 ,SBC, p1",*,"RT, p2, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,15,W,k3*,"p2, k2, p6, k2",*,"p2, k3"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,16,R,"k1, p2, k2, p2*","BC, (k2, p2) twice",*,k1
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,17,W,k3 *,"p2, k2, p6, k2",*,"p2, k3"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,18,R,k1*,"p2, RT, p2, k2, FC",*,"p2, RT, p2, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,19,W,k3 *,"p2, k2, p6, k2",*,"p2, k3"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,20,R,k1*,"p2, k2, p2, k6",*,"p2, k2, p2, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,21,W,k3 *,"p2, k2, p6, k2",*,"p2, k3"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,22,R,k1*,"p2, RT, p2, BC, k2",*,"p2, RT, p2, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,23,W,k3 *,"p2, k2, p6, k2",*,"p2, k3"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,24,R,k1*,"(p2, k2) twice, FC",*,"p2, k2, p2, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,25,W,k3 *,"p2, k2, p6, k2",*,"p2, k3"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,26,R,"k1, p2*","RT, p1, SBC, k2, SFC, p1",*,"RT, p2, k1"
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,27,W,k3 *,"p2, k1",*,k2
1740,Knotted Lattice,Multiple of 12 stitches,plus 8 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1740,28,R,"k1, p2*","k2 ,SBC, p1, RT, p1, SFC",*,"k2, p2, k1"
