StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,1,W,k2*,"p4, k4",*,"p4, k2"
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,2,R,p2*,"FC, p4, BC, p4",*,p2
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,3,W,k2 *,"p4, k4",*,"p4, k2"
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,4,R,p2*,"k4, p4",*,"k4, p2"
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,5,W,k2*,"p4, k4",*,"p4, k2"
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,6,R,p2 *,"FC, p4, BC, p4",*,p2
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,7,W,k2 *,"p4, k4",*,"p4, k2"
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,8,R,p2*,"k4, p4",*,"k4, p2"
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,9,W,k2 *,"p4, k4",*,"p4, k2"
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,10,R,p2 *,"FC, p4, BC, p4",*,p2
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,11,W,k2 *,"p4, k4",*,"p4, k2"
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,12,R,p1*,"SBC, FPC, BPC, SFC, p2",*,p1
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,13,W,k1*,"p2, k3, p4, k3, p2, k2",*,k1
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,14,R,p1*,"k2, p3, BC, p3, k2, p2",*,p1
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,15,W,k1 *,"p2, k3, p4, k3, p2, k2",*,k1
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,16,R,p1*,"SFC, BPC, FPC, SBC, p2",*,p1
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,17,W,k2 *,"p4, k4",*,"p4, k2"
1744,Exchange Cables 1,Multiple of 16 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1744,18,R,p2*,"BC, p4, FC, p4",*,p2
