StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1756,Crossed Banners,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1756,1,R,p32
1756,Crossed Banners,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1756,2,W,k32
1756,Crossed Banners,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1756,3,R,p32
1756,Crossed Banners,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1756,4,W,"k3, p2, k9, p4, k9, p2, k3"
1756,Crossed Banners,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1756,5,R,"p3, LT, p9, FKC, p9, RT, p3"
1756,Crossed Banners,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1756,6,R,"k3, p2, k9, p4, k9, p2, k3"
1756,Crossed Banners,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1756,7,W,"p3, k1, yo, ssk, p6, BC, FC, p6, k2-tog, yo, k1, p3"
1756,Crossed Banners,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1756,8,R,knit the knit stitches and purl the purl stitches
1756,Crossed Banners,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1756,9,W,"p3, k2, yo, ssk, p3, BC, p4, FC, p3, k2-tog, yo, k2, p3"
1756,Crossed Banners,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1756,10,R,knit the knit stitches and purl the purl stitches
1756,Crossed Banners,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1756,11,W,"p3, k1, (yo, ssk) twice, p2, k2, p8, k2, p2, (k2-tog, yo) twice, k1, p3"
