StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,1,W,k1*,"p1, k1, p4, k1, p1, k1",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,2,R,p1*,"k1, p1, k2-tog, yo twice, ssk, p1, k1, p1",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,3,W,k1*,"p1, k1, p1, (k1, p1) into the double yo of the previous row, (p1, k1) twice",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,4,R,p1*,"k1, p1, yo, k2-tog, ssk, yo, p1, k1, p1",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,5,W,k1 *,"p1, k1, p4, k1, p1, k1",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,6,R,p1 *,"k1, p1, k2-tog, yo twice, ssk, p1, k1, p1",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,7,W,k1 *,"p1, k1, p1, (k1, p1) into the double yo of the previous row, (p1, k1) twice",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,8,R,p1*,"slip next stitch to dpn and hold in front, slip next 6 stitches to right needle, slip next stitch to dpn and hold in front, slip the same 6 stitches back to the left needle; then twist the dpn a half turn clockwise (reversing positions of the 2 stitches); then k1 from dpn; then p1, k4, p1; then knit the last stitch from the dpn; p1, k1, p1, yo, k2-tog, ssk, yo, p1, k1, p1",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,9,W,k1 *,"p1, k1, p4, k1, p1, k1",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,10,W,p1 *,"k1, p1, k2-tog, yo twice, ssk, p1, k1, p1",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,11,W,k1 *,"p1, k1, p1, (k1, p1) into the double yo of the previous row, (p1, k1) twice",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,12,R,p1 *,"k1, p1, yo, k2-tog, ssk, yo, p1, k1, p1",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,13,W,k1*,"p1, k1, p4, k1, p1, k1",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,14,R,p1 *,"k1, p1, k2-tog, yo twice, ssk, p1, k1, p1",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,15,W,k1 *,"p1, k1, p1, (k1, p1) into the double yo of the previous row, (p1, k1) twice",*,
1758,Lace Lozenges 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1758,16,R,*,"p1, k1, p1, yo, k2-tog, ssk yo, p1, k1, p1, slip next stitch to dpn and hold in front, slip next 6 stitches to right needle, slip next stitch to dpn and hold in front, slip the same 6 stitches back to the left needle; then twist the dpn a half turn clockwise (reversing positions of the 2 stitches); then k1 from dpn; then p1, k4, p1; then knit the last stitch from the dpn",*,p1
