StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1764,Open Bobble,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1764,1,W,k1*,"yo, k4, p3-tog, k4, yo, k1",*,
1764,Open Bobble,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1764,2,R,k1*,"yo, p4, p3-tog, p4, yo, k1",*,
1764,Open Bobble,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1764,3,W,k1 *,"yo, k4, p3-tog, k4, yo, k1",*,
1764,Open Bobble,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1764,4,R,k1*,"yo, p4, p3-tog, p4, yo, k1",*,
1764,Open Bobble,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1764,5,W,k1 *,"yo, k4, p3-tog, k4, yo, k1",*,
1764,Open Bobble,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1764,6,R,k1 *,"yo, p4, p3-tog, p4, yo, k1",*,
1764,Open Bobble,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1764,7,W,p2-tog*,"k4, yo, k1, yo, k4, p3-tog",*,"k4, yo, k1, yo, k4, p2-tog"
1764,Open Bobble,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1764,8,R,p2-tog*,"p4, yo, k1, yo, p4, p3-tog",*,"p4, yo, k1, yo, p4, p2-tog"
1764,Open Bobble,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1764,9,W,p2-tog *,"k4, yo, k1, yo, k4, p3-tog",*,"k4, yo, k1, yo, k4, p2-tog"
1764,Open Bobble,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1764,10,R,p2-tog *,"p4, yo, k1, yo, p4, p3-tog",*,"p4, yo, k1, yo, p4, p2-tog"
1764,Open Bobble,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1764,11,W,p2-tog *,"k4, yo, k1, yo, k4, p3-tog",*,"k4, yo, k1, yo, k4, p2-tog"
1764,Open Bobble,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1764,12,R,p2-tog *,"p4, yo, k1, yo, p4, p3-tog",*,"p4, yo, k1, yo, p4, p2-tog"
