StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1794,Pilsner Pleating 1,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1794,1,R,*,"k6, k2-tog, yo",*,k1
1794,Pilsner Pleating 1,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1794,2,W,p1*,"k1, p7",*,
1794,Pilsner Pleating 1,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1794,3,R,*,"k5, k2-tog, yo, p1",*,k1
1794,Pilsner Pleating 1,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1794,4,W,p1*,"k2, p6",*,
1794,Pilsner Pleating 1,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1794,5,R,*,"k4, k2-tog, yo, p2",*,k1
1794,Pilsner Pleating 1,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1794,6,W,p1*,"k3, p5",*,
1794,Pilsner Pleating 1,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1794,7,R,*,"k3, k2-tog, yo, p3",*,k1
1794,Pilsner Pleating 1,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1794,8,W,p1*,"k4, p4",*,
1794,Pilsner Pleating 1,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1794,9,R,*,"k2, k2-tog, yo, p4",*,k1
1794,Pilsner Pleating 1,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1794,10,W,p1*,"k5, p3",*,
1794,Pilsner Pleating 1,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1794,11,R,*,"k1, k2-tog, yo, p5",*,k1
1794,Pilsner Pleating 1,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1794,12,W,p1*,"k6, p2",*,
1794,Pilsner Pleating 1,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1794,13,R,*,"k2-tog, yo, p6",*,k1
1794,Pilsner Pleating 1,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1794,14,W,p1*,"k7, p1",*,
