StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,1,W,k4*,"p3, k3",*,k1
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,2,R,k1*,p3. k3,*,"p3, k1"
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,3,W,k4*,"p3, k3",*,k1
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,4,R,k1*,"p3, sl 2-k1-p2sso",*,"p3, k1"
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,5,W,k4*,"p1, k3",*,k1
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,6,R,k1*,"p3, (k1, yo, k1) in next stitch",*,"p3, k1"
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,7,W,k4*,"p3, k3",*,k1
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,8,R,k1*,"p3, k3",*,"p3, k1"
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,9,W,k4*,"p3, k3",*,k1
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,10,R,"k2, p2-tog*","k1, (k1, yo, k1) in next stitch, k1, p3-tog",*,"p2-tog, k2"
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,11,R,k1*,"p3, k3",*,"p3, k1"
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,12,W,k4*,"p3, k3",*,k1
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,13,R,k1*,"p3, k3",*,"p3, k1"
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,14,W,k1*,"sl 2-k1-p2sso, p3",*,"sl 2-k1-p2sso, k1"
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,15,R,k1*,"p1, k3",*,"p1, k1"
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,16,W,k1*,"(k1, yo, k1) in next stitch, p3",*,"(k1, yo, k1) in next stitch, k1"
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,17,R,k1*,"p3, k3",*,"p3, k1"
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,18,W,k4*,"p3, k3",*,k1
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,19,R,k1*,"p3, k3",*,"p3, k1"
1797,Moorish Lattice,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1797,20,W,"k2, knit into front and back of next stitch*","k1, p3-tog, k1, (k1, yo, k1) in next stitch",*,"k1, p3-tog, k1, knit into front and back of next stitch, k2"
