StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
17,Seaweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=17,1,R,*,"p4, k2",*,
17,Seaweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=17,2,W,*,Knit the knit stitches and purl the purl stitches,*,
17,Seaweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=17,3,R,*,"p3, k3",*,
17,Seaweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=17,4,W,*,Knit the knit stitches and purl the purl stitches,*,
17,Seaweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=17,5,R,*,"p2, k4",*,
17,Seaweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=17,6,W,*,Knit the knit stitches and purl the purl stitches,*,
17,Seaweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=17,7,R,p1*,"k4, p2",*,"k4, p1"
17,Seaweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=17,8,W,*,Knit the knit stitches and purl the purl stitches,*,
17,Seaweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=17,9,R,p1*,"k3, p3",*,"k3, p2"
17,Seaweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=17,10,W,*,Knit the knit stitches and purl the purl stitches,*,
17,Seaweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=17,11,R,p1*,"k2, p4",*,"k2, p3"
17,Seaweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=17,12,W,*,Knit the knit stitches and purl the purl stitches,*,
