StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,1,R,"p2, k3, p2*","k1, (k1, yo, k1) in next stitch, k1, p2, k3, p2, k1, sl 2-k1-p2sso, k1, p2, k3, p2",*,
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,2,W,*,"(k2, p3) 3 times, k2, p5",*,"k2, p3, k2"
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,3,R,"p2, bind 3, p2*","k2, (k1, yo, k1) in next stitch, k2, p2, bind 3, p2, sl 3 wyif, p2, bind 3, p2",*,
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,4,W,"k2, p3, k2*","sl 3 wyib, k2, p3, k2, p7, k2, p3, k2",*,
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,5,R,"p2, k3, p2*","k7, p2, k3, p2, sl 3 wyif, p2, k3, p2",*,
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,6,W,"k2, p3, k2*","sl 3 wyib, k2, p3, k2, p7, k2, p3, k2",*,
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,7,R,"p2, bind 3, p2*","k2, sl 2-k1-p2sso, k2, p2, bind 3, p2, sl 3 wyif, p2, bind 3, p2",*,
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,8,W,*,"(k2, p3) 3 times, k2, p5",*,"k2, p3, k2"
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,9,R,"p2, k3, p2*","k1, sl 2-k1-p2sso, k1, p2, k3, p2, k1, (k1, yo, k1) in next stitch, k1, p2, k3, p2",*,
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,10,W,"k2, p3, k2*","p5, k2, (p3, k2) 3 times",*,
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,11,R,"p2, bind 3, p2*","sl 3 wyif, p2, bind 3, p2, k2, (k1, yo, k1) in next stitch, k2, p2, bind 3, p2",*,
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,12,W,"k2, p3, k2*","p7, k2, p3, k2, sl 3 wyib, k2, p3, k2",*,
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,13,R,"p2, k3, p2*","sl 3 wyif, p2, k3, p2, k7, p2, k3, p2",*,
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,14,W,"k2, p3, k2 *","p7, k2, p3, k2, sl 3 wyib, k2, p3, k2",*,
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,15,R,"p2, bind 3, p2*","sl 3 wyif, p2, bind 3, p2, k2, sl 2-k1-p2sso, k2, p2, bind 3, p2",*,
1805,Ornamental Rib,Multiple of 22 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1805,16,W,"k2, p3, k2 *","p5, k2, (p3, k2) 3 times",*,
