StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,1,R,p7*,"k1-b, p17",*,p16
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,2,W,k16*,"p1, k17",*,k7
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,3,R,p6*,"k1, k1-b, k1, p15",*,
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,4,W,*,"k15, p3",*,k6
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,5,R,p5*,"RT, k1-b, LT, p13",*,p1
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,6,W,k14*,"(p1, k1) twice, p1, k13",*,k5
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,7,R,p4*,"RT, p1, k1-b, p1, LT, p11",*,p2
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,8,W,k13*,"(p1, k2) twice, p1, k11",*,k4
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,9,R,p2*,"p2-tog, (k1, yo, k1) in next stitch, purl inc, p1, k1-b, p1, purl inc, (k1, yo, k1) in next stitch, p2-tog, p7",*,p4
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,10,W,k12*,"p3, k3, p1, k3, p3, k9",*,k3
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,11,R,p1*,"p2-tog, (k1, yo) twice, k1, purl inc, p2, k1-b, p2, purl inc, (k1, yo) twice, k1, p2-tog, p5",*,p5
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,12,W,k11*,"p5, k4, p1, k4, p5, k7",*,k2
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,13,R,*,"p2-tog, k2, yo, k1, yo, k2, purl inc, p3, k1-b, p3, purl inc, k2, yo, k1, yo, k2, p2-tog, p3",*,p6
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,14,W,k10*,"p7, k5, p1, k5, p7, k5",*,k1
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,15,R,p1*,"ssk, k3, k2-tog, p5, (k1, yo, k1) in next stitch, p5, ssk, k3, k2-tog, p5",*,p5
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,16,W,k10*,"p5, k5, p3, k5, p5, k5",*,k1
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,17,R,p1*,"ssk, k1, k2-tog, p5, (k1, yo) twice, k1, p5, ssk, k1, k2-tog, p5",*,p5
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,18,W,k10*,"p3, k5, p5, k5, p3, k5",*,k1
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,19,R,p1*,"sl 1-k2-tog-psso, p5, k2, yo, k1, yo, k2, p5, sl 1-k2-tog-psso, p5",*,p5
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,20,W,k16*,"p7, k17",*,k7
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,21,R,p7*,"ssk, k3, k2-tog, p8, k1-b, p8",*,p7
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,22,W,k7*,"p1, k8, p5, k8",*,k7
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,23,R,*,"p7, ssk, k1, k2-tog, p7, k1, k1-b, k1",*,p6
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,24,W,k6*,"p3, k7",*,
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,25,R,p7*,"sl 1-k2-tog-psso, p6, RT, k1-b, LT, p6",*,p5
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,26,W,k5*,"(p1, k1) twice, p1, k13",*,k1
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,27,R,p13*,"RT, p1, k1-b, p1, LT, p11",*,p4
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,28,W,k4*,"(p1, k2) twice, p1, k11",*,k2
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,29,R,p11*,"p2-tog, (k1, yo, k1) in next stitch, purl inc, p1, k1-b, p1, purl inc, (k1, yo, k1) in next stitch, p2-tog, p7",*,p2
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,30,W,k3*,"p3, k3, p1, k3, p3, k9",*,k3
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,31,R,p10*,"p2-tog, (k1, yo) twice, k1, purl inc, p2, k1-b, p2, purl inc, (k1, yo) twice, k1, p2-tog, p5",*,p1
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,32,W,k2*,"p5, k4, p1, k4, p5, k7",*,k4
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,33,R,p9*,"p2-tog, k2, yo, k1, yo, k2, purl inc, p3, k1-b, p3, purl inc, k2, yo, k1, yo, k2, p2-tog, p3",*,"p2-tog, k2, yo, k1, yo, k2, purl inc, p3, k1-b, p3, purl inc, k2, yo, k1, yo, k2, p2-tog"
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,34,W,k1*,"p7, k5, p1, k5, p7, k5",*,k5
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,35,R,p10*,"ssk, k3, k2-tog, p5, (k1, yo, k1) in next stitch, p5, ssk, k3, k2-tog, p5",*,p1
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,36,W,k1*,"p5, k5, p3, k5, p5, k5",*,k5
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,37,R,p10*,"ssk, k1, k2-tog, p5, (k1, yo) twice, k1, p5, ssk, k1, k2-tog, p5",*,p1
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,38,W,k1*,"p3, k5, p5, k5, p3, k5",*,k5
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,39,R,p10*,"sl 1-k2-tog-psso, p5, k2, yo, k1, yo, k2, p5, sl 1-k2-tog-psso, p5",*,p1
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,40,W,k7*,"p7, k17",*,k16
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,41,R,p7*,"k1-b, p8, ssk, k3, k2-tog, p8",*,p7
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,42,W,k7*,"p5, k8, p1, k8",*,k7
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,43,R,p6*,"k1, k1-b, k1, p7, ssk, k1, k2-tog, p7",*,
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,44,W,*,"k7, p3",*,k6
1807,Lucky Leaf,Multiple of 18 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1807,45,R,p5*,"RT, k1-b, LT, p6, sl 1-k2-tog-psso, p6",*,p1
