StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1821,Crown-Embossed Rosebud,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1821,1,W,"k3, p2, k3"
1821,Crown-Embossed Rosebud,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1821,2,R,"p3, sl next stitch to dpn and hold in front, k1, (yo) 3 times then knit the stitch from the dpn, p3"
1821,Crown-Embossed Rosebud,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1821,3,W,"k3, p1, (k1, p1, k1, p1, k1) into the yo loops of the previous row, p1, k3"
1821,Crown-Embossed Rosebud,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1821,4,R,"p3, (k1, yo) 6 times, k1, p3"
1821,Crown-Embossed Rosebud,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1821,5,W,"k3, p13, k3"
1821,Crown-Embossed Rosebud,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1821,6,R,"p3, k13, p3"
1821,Crown-Embossed Rosebud,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1821,7,W,"k3, p2-tog, p9, p2-tog-b, k3"
1821,Crown-Embossed Rosebud,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1821,8,R,"p3, ssk, k7, k2-tog, p3"
1821,Crown-Embossed Rosebud,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1821,9,W,"k3, p2-tog, p5, p2-tog-b, k3"
1821,Crown-Embossed Rosebud,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1821,10,R,"p3, ssk, k3, k2-tog, p3"
1821,Crown-Embossed Rosebud,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1821,11,W,"k3, p2-tog, p1, p2-tog-b, k3"
1821,Crown-Embossed Rosebud,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1821,12,R,"p3, ssk, k1, p3"
