StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
190,Vertical Caterpillar,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=190,1,R,"k3, p1-b, k2"
190,Vertical Caterpillar,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=190,2,W,"p2, k1-b, p3"
190,Vertical Caterpillar,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=190,3,R,"k3, p1-b, k2"
190,Vertical Caterpillar,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=190,4,W,"p2, k1-b, p3"
190,Vertical Caterpillar,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=190,5,R,"k3, p1-b, k2"
190,Vertical Caterpillar,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=190,6,W,"p2, k1-b, p3"
190,Vertical Caterpillar,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=190,7,R,"p1-b, k5"
190,Vertical Caterpillar,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=190,8,W,"p5, k1-b"
190,Vertical Caterpillar,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=190,9,R,"p1-b, k5"
190,Vertical Caterpillar,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=190,10,W,"p5, k1-b"
190,Vertical Caterpillar,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=190,11,R,"p1-b, k5"
190,Vertical Caterpillar,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=190,12,W,"p5, k1-b"
