StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,1,R,"k2, p5, k2, p3"
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,2,W,Knit the knit stitches and purl the purl stitches
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,3,R,"p1, k2, p3, k2, p2, k1, p1"
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,4,W,Knit the knit stitches and purl the purl stitches
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,5,R,"p2, k2, p1, k2, p2, k3"
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,6,W,Knit the knit stitches and purl the purl stitches
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,7,R,"k1, p2, k3, p2, k2, p1, k1"
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,8,W,Knit the knit stitches and purl the purl stitches
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,9,R,"k2, p2, k1, p2, k2, p3"
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,10,W,Knit the knit stitches and purl the purl stitches
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,11,R,"p1, k2, p3, k2, p4"
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,12,W,Knit the knit stitches and purl the purl stitches
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,13,R,"k2, p2, k1, p2, k2, p3"
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,14,W,Knit the knit stitches and purl the purl stitches
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,15,R,"k1, p2, k3, p2, k2, p1, k1"
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,16,W,Knit the knit stitches and purl the purl stitches
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,17,R,"p2, k2, p1, k2, p2, k3"
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,18,W,Knit the knit stitches and purl the purl stitches
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,19,R,"p1, k2, p3, k2, p2, k1, p1"
195,Inlaid Lozenge,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=195,20,W,Knit the knit stitches and purl the purl stitches
