StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1991,Mexican Lace,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1991,1,R,"(Yo, p2-tog) twice, k4, (yo, p2-tog) 3 times"
1991,Mexican Lace,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1991,2,W,"(Yo, p2-tog) 3 times, k4, (yo, p2-tog) twice"
1991,Mexican Lace,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1991,3,R,"(Yo, p2-tog) twice, k3, k2-tog, yo, k1, (yo, p2-tog) twice"
1991,Mexican Lace,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1991,4,W,"(Yo, p2-tog) twice, k2, yo, p2-tog, k2, (yo, p2-tog) twice"
1991,Mexican Lace,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1991,5,R,"(Yo, p2-tog) twice, k1, k2-tog, yo, k3, (yo, p2-tog) twice"
1991,Mexican Lace,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1991,6,W,"(Yo, p2-tog) twice, k4, (yo, p2-tog) 3 times"
1991,Mexican Lace,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1991,7,R,"(Yo, p2-tog) 3 times, k4, (yo, p2-tog) twice"
1991,Mexican Lace,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1991,8,W,"(Yo, p2-tog) twice, k3, k2-tog, yo, k1, (yo, p2-tog) twice"
1991,Mexican Lace,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1991,9,R,"(Yo, p2-tog) twice, k2, yo, p2-tog, k2, (yo, p2-tog) twice"
1991,Mexican Lace,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1991,10,W,"(Yo, p2-tog) twice, k1, k2-tog, yo, k3, (yo, p2-tog) twice"
