StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1994,Shamrock 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1994,1,R,"Sl 1, (k1, yo, p2-tog) twice, k2, yo twice, k5"
1994,Shamrock 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1994,2,W,"K5, (k1, p1) in double yarn over loop, k2, yo, p2-tog, k1, yo, p2-tog, k2"
1994,Shamrock 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1994,3,R,"Sl 1, (k1, yo, p2-tog) twice, k4, yo twice, k5"
1994,Shamrock 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1994,4,W,"K5, (k1, p1) in double yarn over loop, k4, yo, p2-tog, k1, yo, p2-tog, k2"
1994,Shamrock 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1994,5,R,"Sl 1, (k1, yo, p2-tog) twice, k3, yo twice, k8"
1994,Shamrock 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1994,6,W,"K8, (k1, p1) in double yarn over loop,  k3, yo, p2-tog, k1, yo, p2-tog, k2"
1994,Shamrock 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1994,7,R,"Sl 1, (k1, yo, p2-tog) twice, k13"
1994,Shamrock 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1994,8,W,"K13, yo, p2-tog, k1, yo, p2-tog, k2"
1994,Shamrock 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1994,9,R,"Sl 1, (k1, yo, p2-tog) twice, k13"
1994,Shamrock 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1994,10,W,"Bind off 6 stitches, k6, yo, p2-tog, k1, yo, p2-tog, k2"
