StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1995,Shell 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1995,1,R,"Yo, k2-tog, k1, (yo, ssk) twice, k4, yo, k2-tog, k1"
1995,Shell 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1995,2,W,"Sl 1, k2, yo, ssk, k1, (p2-tog-b, yo) twice, k4"
1995,Shell 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1995,3,R,"Yo, k2-tog, k3, (yo, ssk) twice, k2, yo, ssk, k1"
1995,Shell 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1995,4,W,"Sl 1, k2, yo, ssk, k2, yo, k2-tog, yo, k5"
1995,Shell 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1995,5,R,"Yo, k2-tog, k3, yo, k2-tog, yo, k5, yo, ssk, k1"
1995,Shell 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1995,6,W,"Sl 1, k2, yo, ssk, k4, yo, k2-tog, yo, k5"
1995,Shell 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1995,7,R,"Yo, k2-tog, k4, (yo, ssk) twice, k4, yo, ssk, k1"
1995,Shell 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1995,8,W,"Sl 1, k2, yo, ssk, k1, (p2-tog-b, yo) twice, k7"
1995,Shell 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1995,9,R,"Yo, k2-tog, k6, (yo, k2-tog) twice, k2, yo, ssk, k1"
1995,Shell 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1995,10,W,"Sl 1, k2, yo, ssk, k2, yo, k2-tog, yo, k8"
1995,Shell 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1995,11,R,"Yo, k2-tog, k6, yo, ssk, yo, k5, yo, ssk, k1"
1995,Shell 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1995,12,W,"Sl 1, k2, yo, ssk, k4, yo, ssk, yo, k8"
1995,Shell 2,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1995,13,R,"Yo, k2-tog, k6, on right needle pull six loops over one, k1, (yo, ssk) twice, k4, yo, ssk, k1"
