StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
201,Basket 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=201,1,R,knit
201,Basket 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=201,2,W,purl
201,Basket 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=201,3,R,"k1, p4, k1"
201,Basket 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=201,4,W,"p1, k4, p1"
201,Basket 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=201,5,R,"k1, p4, k1"
201,Basket 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=201,6,W,"p1, k4, p1"
201,Basket 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=201,7,R,knit
201,Basket 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=201,8,W,purl
201,Basket 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=201,9,R,"p2, k2, p2"
201,Basket 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=201,10,W,"k2, p2, k2"
201,Basket 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=201,11,R,"p2, k2, p2"
201,Basket 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=201,12,W,"k2, p2, k2"
