StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat,End Row
202,Wide Basket,Multiple of 9 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=202,1,W,"p6, k3",p6
202,Wide Basket,Multiple of 9 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=202,2,R,Knit the knit stitches and purl the purl stitches,
202,Wide Basket,Multiple of 9 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=202,3,W,"p6, k3",p6
202,Wide Basket,Multiple of 9 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=202,4,R,Knit the knit stitches and purl the purl stitches,
202,Wide Basket,Multiple of 9 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=202,5,W,"p6, k3",p6
202,Wide Basket,Multiple of 9 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=202,6,R,Knit the knit stitches and purl the purl stitches,
202,Wide Basket,Multiple of 9 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=202,7,W,"k6, p3",k6
202,Wide Basket,Multiple of 9 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=202,8,R,Knit the knit stitches and purl the purl stitches,
202,Wide Basket,Multiple of 9 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=202,9,W,"k6, p3",k6
202,Wide Basket,Multiple of 9 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=202,10,R,Knit the knit stitches and purl the purl stitches,
