StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
203,Window,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=203,1,W,"k2, p6, k4"
203,Window,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=203,2,R,Knit the knit stitches and purl the purl stitches
203,Window,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=203,3,W,"p2, k6, p2, k2"
203,Window,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=203,4,R,Knit the knit stitches and purl the purl stitches
203,Window,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=203,5,W,"p2, k6, p2, k2"
203,Window,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=203,6,R,Knit the knit stitches and purl the purl stitches
203,Window,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=203,7,W,"p2, k6, p2, k2"
203,Window,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=203,8,R,Knit the knit stitches and purl the purl stitches
203,Window,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=203,9,W,"p2, k6, p2, k2"
203,Window,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=203,10,R,Knit the knit stitches and purl the purl stitches
203,Window,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=203,11,W,"k2, p6, k4"
203,Window,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=203,12,R,Knit the knit stitches and purl the purl stitches
203,Window,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=203,13,W,knit
203,Window,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=203,14,R,purl
