StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,1,R,purl
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,2,W,knit
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,3,R,purl
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,4,W,purl
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,5,R,"p5, k5"
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,6,W,"k1, p5, k4"
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,7,R,"p3, k5, p2"
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,8,W,"k3, p5, k2"
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,9,R,"p1, k5, p4"
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,10,W,knit
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,11,R,"k1, p5, k4"
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,12,W,"p3, k5, p2"
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,13,R,"k3, p5, k2"
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,14,W,"p1, k5, p4"
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,15,R,"k5, p5"
205,Embossed Leaf 1,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=205,16,W,purl
