StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
214,Vertical Granite,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=214,1,R,"sl 2 wyif, yo, k2"
214,Vertical Granite,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=214,2,W,"p2, k2 tog-b , k1"
214,Vertical Granite,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=214,3,R,"sl 2 wyif, yo, k2"
214,Vertical Granite,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=214,4,W,"p2, k2 tog-b , k1"
214,Vertical Granite,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=214,5,R,"sl 2 wyif, yo, k2"
214,Vertical Granite,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=214,6,W,"p2, k2 tog-b , k1"
214,Vertical Granite,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=214,7,R,"k2, sl 1 wyif, yo, sl 1 wyib"
214,Vertical Granite,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=214,8,W,"k1, k2 tog-b, p2"
214,Vertical Granite,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=214,9,R,"k2, sl 1 wyif, yo, sl 1 wyib"
214,Vertical Granite,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=214,10,W,"k1, k2 tog-b, p2"
214,Vertical Granite,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=214,11,R,"k2, sl 1 wyif, yo, sl 1 wyib"
214,Vertical Granite,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=214,12,W,"k1, k2 tog-b, p2"
